Section 5;;;;;Area;Min Value;102;;Area;;;;;Min Feret Diameter;;;;;Mean Gray Value;;;;;
ROIs;Area [um^2];Mean Gray Value;Min Feret [um];;;Max Value;10.740;;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);Number of Positive Fibers;Percentage of Positive Fibers
137;4.626;3;65,99;;;;;;;;;;;;;;;;;;;;;
138;681;6;24,446;;;;;;;;;;;;;;;;;;;;;
139;5.040;3;52,74;;;;;;;;;;;;;;;;;;;;;
140;520;4;19,905;;;;;;;;;;;;;;;;;;;;;
141;1.133;4;35,125;;;;;;;;;;;;;;;;;;;;;
142;3.032;4;55,712;;;;;;;;;;;;;;;;;;;;;
143;2.252;4;53,189;;;;;;;;;;;;;;;;;;;;;
144;2.023;3;44,885;;;;;;;;;;;;;;;;;;;;;
145;446;6;17,097;;;;;;;;;;;;;;;;;;;;;
146;2.235;4;36,49;;;;;;;;;;;;;;;;;;;;;
147;308;1;16,057;;;;;;;;;;;;;;;;;;;;;
148;2.987;3;64,259;;;;;;;;;;;;;;;;;;;;;
149;1.878;2;42,344;;;;;;;;;;;;;;;;;;;;;
150;2.501;3;51,578;;;;;;;;;;;;;;;;;;;;;
151;1.032;5;27,562;;;;;;;;;;;;;;;;;;;;;
152;3.438;2;63,184;;;;;;;;;;;;;;;;;;;;;
153;2.125;3;47,823;;;;;;;;;;;;;;;;;;;;;
154;5.180;3;63,993;;;;;;;;;;;;;;;;;;;;;
155;3.220;2;49,824;;;;;;;;;;;;;;;;;;;;;
156;1.477;3;38,672;;;;;;;;;;;;;;;;;;;;;
157;1.769;3;43,294;;;;;;;;;;;;;;;;;;;;;
158;1.216;4;34,273;;;;;;;;;;;;;;;;;;;;;
159;410;2;23,42;;;;;;;;;;;;;;;;;;;;;
160;850;6;30,29;;;;;;;;;;;;;;;;;;;;;
161;1.324;5;33,131;;;;;;;;;;;;;;;;;;;;;
162;1.052;5;26,838;;;;;;;;;;;;;;;;;;;;;
163;1.423;2;41,22;;;;;;;;;;;;;;;;;;;;;
164;3.933;2;53,434;;;;;;;;;;;;;;;;;;;;;
165;1.805;5;38,792;;;;;;;;;;;;;;;;;;;;;
166;512;4;22,735;;;;;;;;;;;;;;;;;;;;;
167;943;5;33,78;;;;;;;;;;;;;;;;;;;;;
168;3.728;2;59,862;;;;;;;;;;;;;;;;;;;;;
169;558;4;22,564;;;;;;;;;;;;;;;;;;;;;
170;1.854;4;37,487;;;;;;;;;;;;;;;;;;;;;
171;5.666;3;65,003;;;;;;;;;;;;;;;;;;;;;
172;1.005;5;25,654;;;;;;;;;;;;;;;;;;;;;
173;3.668;4;65,71;;;;;;;;;;;;;;;;;;;;;
174;439;1;14,298;;;;;;;;;;;;;;;;;;;;;
175;3.657;2;53,276;;;;;;;;;;;;;;;;;;;;;
176;999;3;31,093;;;;;;;;;;;;;;;;;;;;;
177;2.418;2;49,49;;;;;;;;;;;;;;;;;;;;;
178;1.478;4;36,777;;;;;;;;;;;;;;;;;;;;;
179;2.591;4;55,05;;;;;;;;;;;;;;;;;;;;;
180;4.085;2;55,551;;;;;;;;;;;;;;;;;;;;;
181;2.125;3;48,769;;;;;;;;;;;;;;;;;;;;;
182;3.117;3;53,843;;;;;;;;;;;;;;;;;;;;;
183;3.803;1;53,772;;;;;;;;;;;;;;;;;;;;;
184;434;4;20,341;;;;;;;;;;;;;;;;;;;;;
185;1.970;4;30,86;;;;;;;;;;;;;;;;;;;;;
186;1.325;3;36,774;;;;;;;;;;;;;;;;;;;;;
187;1.287;4;27,616;;;;;;;;;;;;;;;;;;;;;
188;2.512;4;51,344;;;;;;;;;;;;;;;;;;;;;
189;4.252;5;62,007;;;;;;;;;;;;;;;;;;;;;
190;1.555;3;37,937;;;;;;;;;;;;;;;;;;;;;
191;3.336;3;56,596;;;;;;;;;;;;;;;;;;;;;
192;1.748;5;41,843;;;;;;;;;;;;;;;;;;;;;
193;992;7;28,763;;;;;;;;;;;;;;;;;;;;;
194;1.236;4;25,467;;;;;;;;;;;;;;;;;;;;;
195;1.010;4;32,731;;;;;;;;;;;;;;;;;;;;;
196;3.309;2;50,327;;;;;;;;;;;;;;;;;;;;;
197;1.042;5;31,985;;;;;;;;;;;;;;;;;;;;;
