Section 5;;;;;Area;Min Value;102;;Area;;;;;Min Feret Diameter;;;;;Mean Gray Value;;;;;
ROIs;Area [um^2];Mean Gray Value;Min Feret [um];;;Max Value;10.740;;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);Number of Positive Fibers;Percentage of Positive Fibers
796;1.871;5;31,498;;;;;;;;;;;;;;;;;;;;;
797;1.315;4;30,678;;;;;;;;;;;;;;;;;;;;;
798;1.360;2;29,294;;;;;;;;;;;;;;;;;;;;;
799;1.247;2;34,097;;;;;;;;;;;;;;;;;;;;;
800;2.255;2;43,208;;;;;;;;;;;;;;;;;;;;;
801;1.649;3;43,867;;;;;;;;;;;;;;;;;;;;;
802;2.160;6;40,323;;;;;;;;;;;;;;;;;;;;;
803;1.163;4;33,707;;;;;;;;;;;;;;;;;;;;;
804;1.149;2;35,037;;;;;;;;;;;;;;;;;;;;;
805;866;1;25,756;;;;;;;;;;;;;;;;;;;;;
806;3.994;2;60,186;;;;;;;;;;;;;;;;;;;;;
807;1.364;2;26,91;;;;;;;;;;;;;;;;;;;;;
808;1.679;3;40,438;;;;;;;;;;;;;;;;;;;;;
809;1.552;4;43,321;;;;;;;;;;;;;;;;;;;;;
810;540;4;18,397;;;;;;;;;;;;;;;;;;;;;
811;2.088;8;35,807;;;;;;;;;;;;;;;;;;;;;
812;3.973;3;72,774;;;;;;;;;;;;;;;;;;;;;
813;802;5;27,946;;;;;;;;;;;;;;;;;;;;;
814;1.854;5;36,784;;;;;;;;;;;;;;;;;;;;;
815;1.054;2;31,754;;;;;;;;;;;;;;;;;;;;;
816;993;4;33,601;;;;;;;;;;;;;;;;;;;;;
817;549;3;18,171;;;;;;;;;;;;;;;;;;;;;
818;468;3;18,661;;;;;;;;;;;;;;;;;;;;;
819;4.406;3;52,757;;;;;;;;;;;;;;;;;;;;;
820;242;19;21,412;;;;;;;;;;;;;;;;;;;;;
821;1.105;4;30,229;;;;;;;;;;;;;;;;;;;;;
822;1.572;4;44,854;;;;;;;;;;;;;;;;;;;;;
823;2.711;3;37,954;;;;;;;;;;;;;;;;;;;;;
824;1.811;3;44,126;;;;;;;;;;;;;;;;;;;;;
825;1.610;5;36,614;;;;;;;;;;;;;;;;;;;;;
826;4.898;4;64,377;;;;;;;;;;;;;;;;;;;;;
827;2.791;4;47,612;;;;;;;;;;;;;;;;;;;;;
828;3.966;4;48,19;;;;;;;;;;;;;;;;;;;;;
829;2.837;2;50,055;;;;;;;;;;;;;;;;;;;;;
830;834;4;29,742;;;;;;;;;;;;;;;;;;;;;
831;1.212;2;28,979;;;;;;;;;;;;;;;;;;;;;
832;422;4;19,081;;;;;;;;;;;;;;;;;;;;;
833;1.528;3;30,237;;;;;;;;;;;;;;;;;;;;;
834;1.393;3;40,595;;;;;;;;;;;;;;;;;;;;;
835;335;2;15,828;;;;;;;;;;;;;;;;;;;;;
836;491;4;16,466;;;;;;;;;;;;;;;;;;;;;
837;371;5;19,726;;;;;;;;;;;;;;;;;;;;;
838;1.334;8;33,825;;;;;;;;;;;;;;;;;;;;;
839;3.173;4;63,954;;;;;;;;;;;;;;;;;;;;;
840;1.769;4;39,337;;;;;;;;;;;;;;;;;;;;;
841;707;4;25,768;;;;;;;;;;;;;;;;;;;;;
842;2.590;4;56,653;;;;;;;;;;;;;;;;;;;;;
843;1.517;3;33,264;;;;;;;;;;;;;;;;;;;;;
844;2.155;2;41,081;;;;;;;;;;;;;;;;;;;;;
845;3.432;2;55,148;;;;;;;;;;;;;;;;;;;;;
846;184;1;10,256;;;;;;;;;;;;;;;;;;;;;
847;2.468;3;47,891;;;;;;;;;;;;;;;;;;;;;
848;990;3;34,051;;;;;;;;;;;;;;;;;;;;;
849;1.535;3;32,751;;;;;;;;;;;;;;;;;;;;;
850;2.024;4;45,24;;;;;;;;;;;;;;;;;;;;;
851;458;4;24,022;;;;;;;;;;;;;;;;;;;;;
852;1.203;4;29,875;;;;;;;;;;;;;;;;;;;;;
853;1.342;2;30,576;;;;;;;;;;;;;;;;;;;;;
854;1.893;3;43,674;;;;;;;;;;;;;;;;;;;;;
855;1.469;3;37,132;;;;;;;;;;;;;;;;;;;;;
856;1.859;4;35,074;;;;;;;;;;;;;;;;;;;;;
857;1.658;4;41,676;;;;;;;;;;;;;;;;;;;;;
858;649;4;22,974;;;;;;;;;;;;;;;;;;;;;
859;620;4;25,168;;;;;;;;;;;;;;;;;;;;;
860;1.364;4;37,104;;;;;;;;;;;;;;;;;;;;;
861;522;4;22,154;;;;;;;;;;;;;;;;;;;;;
862;4.242;2;60,695;;;;;;;;;;;;;;;;;;;;;
863;516;4;18,381;;;;;;;;;;;;;;;;;;;;;
864;857;6;27,864;;;;;;;;;;;;;;;;;;;;;
865;647;4;26,512;;;;;;;;;;;;;;;;;;;;;
866;563;9;19,898;;;;;;;;;;;;;;;;;;;;;
867;134;14;9,154;;;;;;;;;;;;;;;;;;;;;
868;2.858;2;43,901;;;;;;;;;;;;;;;;;;;;;
869;1.948;4;31,391;;;;;;;;;;;;;;;;;;;;;
870;1.030;5;31,533;;;;;;;;;;;;;;;;;;;;;
871;106;4;9,408;;;;;;;;;;;;;;;;;;;;;
872;2.794;3;51,108;;;;;;;;;;;;;;;;;;;;;
873;1.703;5;37,413;;;;;;;;;;;;;;;;;;;;;
874;347;6;20,155;;;;;;;;;;;;;;;;;;;;;
875;1.134;4;27,251;;;;;;;;;;;;;;;;;;;;;
876;2.051;5;48,893;;;;;;;;;;;;;;;;;;;;;
877;1.503;3;39,055;;;;;;;;;;;;;;;;;;;;;
878;1.544;3;38,351;;;;;;;;;;;;;;;;;;;;;
879;1.521;4;36,136;;;;;;;;;;;;;;;;;;;;;
880;1.546;3;43,896;;;;;;;;;;;;;;;;;;;;;
881;908;4;25,432;;;;;;;;;;;;;;;;;;;;;
882;2.037;3;39,33;;;;;;;;;;;;;;;;;;;;;
883;1.009;3;33,606;;;;;;;;;;;;;;;;;;;;;
884;230;11;10,528;;;;;;;;;;;;;;;;;;;;;
885;123;10;10,369;;;;;;;;;;;;;;;;;;;;;
886;664;4;21,898;;;;;;;;;;;;;;;;;;;;;
887;378;5;21,111;;;;;;;;;;;;;;;;;;;;;
888;1.486;3;33,853;;;;;;;;;;;;;;;;;;;;;
889;139;12;11,021;;;;;;;;;;;;;;;;;;;;;
890;1.205;5;36,309;;;;;;;;;;;;;;;;;;;;;
891;1.160;4;32,532;;;;;;;;;;;;;;;;;;;;;
892;3.757;3;58,472;;;;;;;;;;;;;;;;;;;;;
893;2.465;3;45,265;;;;;;;;;;;;;;;;;;;;;
894;1.054;4;32,612;;;;;;;;;;;;;;;;;;;;;
895;1.408;3;36,248;;;;;;;;;;;;;;;;;;;;;
896;2.260;2;51,469;;;;;;;;;;;;;;;;;;;;;
897;5.395;3;75,209;;;;;;;;;;;;;;;;;;;;;
898;1.306;4;35,6;;;;;;;;;;;;;;;;;;;;;
899;325;7;20,477;;;;;;;;;;;;;;;;;;;;;
900;1.332;4;32,96;;;;;;;;;;;;;;;;;;;;;
901;818;5;29,138;;;;;;;;;;;;;;;;;;;;;
902;3.553;3;53,895;;;;;;;;;;;;;;;;;;;;;
903;933;3;28,542;;;;;;;;;;;;;;;;;;;;;
904;1.671;1;30,984;;;;;;;;;;;;;;;;;;;;;
905;504;5;22,4;;;;;;;;;;;;;;;;;;;;;
906;4.123;3;52,335;;;;;;;;;;;;;;;;;;;;;
907;1.391;3;33,641;;;;;;;;;;;;;;;;;;;;;
908;1.010;4;32,075;;;;;;;;;;;;;;;;;;;;;
909;248;33;17,6;;;;;;;;;;;;;;;;;;;;;
910;2.288;2;27,405;;;;;;;;;;;;;;;;;;;;;
911;2.328;4;48,896;;;;;;;;;;;;;;;;;;;;;
912;106;10;6,854;;;;;;;;;;;;;;;;;;;;;
913;894;6;23,316;;;;;;;;;;;;;;;;;;;;;
914;215;5;12,744;;;;;;;;;;;;;;;;;;;;;
915;3.281;3;44,898;;;;;;;;;;;;;;;;;;;;;
916;1.190;3;32,151;;;;;;;;;;;;;;;;;;;;;
917;1.987;5;45,804;;;;;;;;;;;;;;;;;;;;;
918;4.236;4;58,657;;;;;;;;;;;;;;;;;;;;;
919;1.137;4;25,191;;;;;;;;;;;;;;;;;;;;;
920;3.864;2;36,829;;;;;;;;;;;;;;;;;;;;;
921;958;5;29,542;;;;;;;;;;;;;;;;;;;;;
922;1.281;2;28,248;;;;;;;;;;;;;;;;;;;;;
923;588;3;21,943;;;;;;;;;;;;;;;;;;;;;
924;1.097;3;28,705;;;;;;;;;;;;;;;;;;;;;
925;572;4;18,58;;;;;;;;;;;;;;;;;;;;;
926;2.047;3;36,173;;;;;;;;;;;;;;;;;;;;;
927;5.382;2;57,878;;;;;;;;;;;;;;;;;;;;;
928;3.729;3;56,456;;;;;;;;;;;;;;;;;;;;;
929;4.305;3;64,949;;;;;;;;;;;;;;;;;;;;;
930;1.096;3;27,818;;;;;;;;;;;;;;;;;;;;;
931;3.568;2;39,015;;;;;;;;;;;;;;;;;;;;;
932;828;5;26,186;;;;;;;;;;;;;;;;;;;;;
933;884;4;33,159;;;;;;;;;;;;;;;;;;;;;
934;922;8;32,947;;;;;;;;;;;;;;;;;;;;;
935;2.884;3;58,275;;;;;;;;;;;;;;;;;;;;;
936;1.023;4;33,96;;;;;;;;;;;;;;;;;;;;;
937;1.137;7;27,179;;;;;;;;;;;;;;;;;;;;;
938;1.528;3;27,851;;;;;;;;;;;;;;;;;;;;;
939;3.432;3;56,565;;;;;;;;;;;;;;;;;;;;;
940;1.119;4;33,996;;;;;;;;;;;;;;;;;;;;;
941;597;4;28,162;;;;;;;;;;;;;;;;;;;;;
942;626;4;19,201;;;;;;;;;;;;;;;;;;;;;
943;4.134;3;66,344;;;;;;;;;;;;;;;;;;;;;
944;400;24;18,351;;;;;;;;;;;;;;;;;;;;;
945;1.655;3;34,462;;;;;;;;;;;;;;;;;;;;;
946;777;5;25,623;;;;;;;;;;;;;;;;;;;;;
947;269;6;19,061;;;;;;;;;;;;;;;;;;;;;
948;5.551;6;75,689;;;;;;;;;;;;;;;;;;;;;
949;401;4;21,141;;;;;;;;;;;;;;;;;;;;;
950;874;3;25,522;;;;;;;;;;;;;;;;;;;;;
951;727;3;24,918;;;;;;;;;;;;;;;;;;;;;
952;2.550;2;42,24;;;;;;;;;;;;;;;;;;;;;
953;297;4;14,832;;;;;;;;;;;;;;;;;;;;;
954;208;2;11,897;;;;;;;;;;;;;;;;;;;;;
955;2.809;1;43,183;;;;;;;;;;;;;;;;;;;;;
956;3.849;3;66,444;;;;;;;;;;;;;;;;;;;;;
957;514;5;24,453;;;;;;;;;;;;;;;;;;;;;
958;1.251;3;28,847;;;;;;;;;;;;;;;;;;;;;
959;1.382;3;35,737;;;;;;;;;;;;;;;;;;;;;
960;1.974;3;37,265;;;;;;;;;;;;;;;;;;;;;
961;166;6;14,634;;;;;;;;;;;;;;;;;;;;;
962;2.292;4;48,999;;;;;;;;;;;;;;;;;;;;;
963;793;3;26,313;;;;;;;;;;;;;;;;;;;;;
964;1.894;4;48,375;;;;;;;;;;;;;;;;;;;;;
965;1.144;3;28,482;;;;;;;;;;;;;;;;;;;;;
966;190;5;12,843;;;;;;;;;;;;;;;;;;;;;
967;781;7;24,228;;;;;;;;;;;;;;;;;;;;;
968;574;6;22,907;;;;;;;;;;;;;;;;;;;;;
969;2.709;4;43,85;;;;;;;;;;;;;;;;;;;;;
970;1.330;3;29,511;;;;;;;;;;;;;;;;;;;;;
971;2.354;3;49,587;;;;;;;;;;;;;;;;;;;;;
972;628;1;19,236;;;;;;;;;;;;;;;;;;;;;
973;141;2;9,358;;;;;;;;;;;;;;;;;;;;;
974;905;4;30,8;;;;;;;;;;;;;;;;;;;;;
975;192;26;14,373;;;;;;;;;;;;;;;;;;;;;
976;1.121;1;22,247;;;;;;;;;;;;;;;;;;;;;
977;3.399;3;54,317;;;;;;;;;;;;;;;;;;;;;
978;3.605;29;60,365;;;;;;;;;;;;;;;;;;;;;
979;472;7;21,2;;;;;;;;;;;;;;;;;;;;;
980;977;4;31,328;;;;;;;;;;;;;;;;;;;;;
981;3.956;3;66,86;;;;;;;;;;;;;;;;;;;;;
982;3.628;2;51,606;;;;;;;;;;;;;;;;;;;;;
983;138;9;11,834;;;;;;;;;;;;;;;;;;;;;
984;3.330;3;53,889;;;;;;;;;;;;;;;;;;;;;
985;227;1;13,344;;;;;;;;;;;;;;;;;;;;;
986;2.134;5;38,059;;;;;;;;;;;;;;;;;;;;;
987;530;3;23,385;;;;;;;;;;;;;;;;;;;;;
988;2.267;4;45,622;;;;;;;;;;;;;;;;;;;;;
989;366;4;11,08;;;;;;;;;;;;;;;;;;;;;
990;1.977;4;44,686;;;;;;;;;;;;;;;;;;;;;
991;741;3;27,343;;;;;;;;;;;;;;;;;;;;;
992;1.736;4;39,246;;;;;;;;;;;;;;;;;;;;;
993;1.439;4;33,354;;;;;;;;;;;;;;;;;;;;;
994;439;9;20,545;;;;;;;;;;;;;;;;;;;;;
995;137;12;10,659;;;;;;;;;;;;;;;;;;;;;
996;311;1;18,603;;;;;;;;;;;;;;;;;;;;;
997;561;6;20,924;;;;;;;;;;;;;;;;;;;;;
998;2.926;23;58,195;;;;;;;;;;;;;;;;;;;;;
999;2.298;3;45,869;;;;;;;;;;;;;;;;;;;;;
1000;1.667;4;40,208;;;;;;;;;;;;;;;;;;;;;
1001;498;3;22,116;;;;;;;;;;;;;;;;;;;;;
1002;909;3;29,786;;;;;;;;;;;;;;;;;;;;;
1003;122;2;9,735;;;;;;;;;;;;;;;;;;;;;
1004;4.217;3;57,393;;;;;;;;;;;;;;;;;;;;;
1005;3.390;4;67,161;;;;;;;;;;;;;;;;;;;;;
1006;1.787;3;42,36;;;;;;;;;;;;;;;;;;;;;
1007;370;7;20,611;;;;;;;;;;;;;;;;;;;;;
1008;821;6;24,741;;;;;;;;;;;;;;;;;;;;;
1009;671;4;26,399;;;;;;;;;;;;;;;;;;;;;
1010;1.631;4;40,911;;;;;;;;;;;;;;;;;;;;;
1011;688;4;24,91;;;;;;;;;;;;;;;;;;;;;
1012;1.157;3;36,988;;;;;;;;;;;;;;;;;;;;;
1013;1.932;5;50,333;;;;;;;;;;;;;;;;;;;;;
1014;987;4;33,752;;;;;;;;;;;;;;;;;;;;;
1015;197;6;11,666;;;;;;;;;;;;;;;;;;;;;
1016;2.077;4;41,602;;;;;;;;;;;;;;;;;;;;;
1017;798;3;26,97;;;;;;;;;;;;;;;;;;;;;
1018;319;2;17,98;;;;;;;;;;;;;;;;;;;;;
1019;1.096;5;28,828;;;;;;;;;;;;;;;;;;;;;
1020;648;6;26,59;;;;;;;;;;;;;;;;;;;;;
1021;548;4;25,146;;;;;;;;;;;;;;;;;;;;;
1022;2.188;3;47,065;;;;;;;;;;;;;;;;;;;;;
1023;773;4;30,569;;;;;;;;;;;;;;;;;;;;;
1024;1.386;4;37,557;;;;;;;;;;;;;;;;;;;;;
1025;1.308;1;34,383;;;;;;;;;;;;;;;;;;;;;
1026;4.601;3;70,249;;;;;;;;;;;;;;;;;;;;;
1027;1.050;5;35,891;;;;;;;;;;;;;;;;;;;;;
1028;1.025;4;35,747;;;;;;;;;;;;;;;;;;;;;
1029;1.152;4;38,713;;;;;;;;;;;;;;;;;;;;;
1030;649;8;22,768;;;;;;;;;;;;;;;;;;;;;
1031;2.305;4;47,587;;;;;;;;;;;;;;;;;;;;;
1032;2.290;4;51,586;;;;;;;;;;;;;;;;;;;;;
1033;1.382;4;35,815;;;;;;;;;;;;;;;;;;;;;
1034;242;6;14,769;;;;;;;;;;;;;;;;;;;;;
1035;2.729;5;45,173;;;;;;;;;;;;;;;;;;;;;
1036;794;6;28,624;;;;;;;;;;;;;;;;;;;;;
1037;818;5;32,827;;;;;;;;;;;;;;;;;;;;;
1038;798;2;30,494;;;;;;;;;;;;;;;;;;;;;
1039;289;4;17,953;;;;;;;;;;;;;;;;;;;;;
1040;1.085;4;35,56;;;;;;;;;;;;;;;;;;;;;
1041;1.906;4;33,463;;;;;;;;;;;;;;;;;;;;;
1042;440;4;18,647;;;;;;;;;;;;;;;;;;;;;
1043;940;4;26,73;;;;;;;;;;;;;;;;;;;;;
1044;238;53;19,232;;;;;;;;;;;;;;;;;;;;;
1045;1.615;4;37,321;;;;;;;;;;;;;;;;;;;;;
1046;1.603;5;40,439;;;;;;;;;;;;;;;;;;;;;
1047;2.722;4;58,497;;;;;;;;;;;;;;;;;;;;;
1048;954;5;29,656;;;;;;;;;;;;;;;;;;;;;
1049;571;4;19,718;;;;;;;;;;;;;;;;;;;;;
1050;1.792;4;47,671;;;;;;;;;;;;;;;;;;;;;
1051;589;4;19,837;;;;;;;;;;;;;;;;;;;;;
1052;1.145;1;27,657;;;;;;;;;;;;;;;;;;;;;
1053;291;7;19,57;;;;;;;;;;;;;;;;;;;;;
1054;1.523;4;38,606;;;;;;;;;;;;;;;;;;;;;
1055;782;4;25,458;;;;;;;;;;;;;;;;;;;;;
1056;3.334;3;42,741;;;;;;;;;;;;;;;;;;;;;
1057;4.893;3;73,05;;;;;;;;;;;;;;;;;;;;;
1058;586;6;22,765;;;;;;;;;;;;;;;;;;;;;
1059;1.169;2;34,126;;;;;;;;;;;;;;;;;;;;;
1060;2.256;4;51,201;;;;;;;;;;;;;;;;;;;;;
1061;326;7;15,98;;;;;;;;;;;;;;;;;;;;;
1062;4.446;1;58,294;;;;;;;;;;;;;;;;;;;;;
1063;2.676;3;52,892;;;;;;;;;;;;;;;;;;;;;
1064;185;6;10,641;;;;;;;;;;;;;;;;;;;;;
1065;1.680;3;40,299;;;;;;;;;;;;;;;;;;;;;
1066;4.011;3;45,742;;;;;;;;;;;;;;;;;;;;;
1067;3.727;3;55,467;;;;;;;;;;;;;;;;;;;;;
1068;4.905;2;74,105;;;;;;;;;;;;;;;;;;;;;
1069;3.112;3;55,84;;;;;;;;;;;;;;;;;;;;;
1070;266;6;16,276;;;;;;;;;;;;;;;;;;;;;
1071;1.420;4;39,666;;;;;;;;;;;;;;;;;;;;;
1072;856;3;30,622;;;;;;;;;;;;;;;;;;;;;
1073;1.208;4;35,961;;;;;;;;;;;;;;;;;;;;;
1074;469;4;21,096;;;;;;;;;;;;;;;;;;;;;
1075;633;8;26,94;;;;;;;;;;;;;;;;;;;;;
1076;2.669;5;53,325;;;;;;;;;;;;;;;;;;;;;
1077;108;16;11,103;;;;;;;;;;;;;;;;;;;;;
1078;1.013;4;35,501;;;;;;;;;;;;;;;;;;;;;
1079;741;5;29,846;;;;;;;;;;;;;;;;;;;;;
1080;284;5;14,001;;;;;;;;;;;;;;;;;;;;;
1081;217;5;17,225;;;;;;;;;;;;;;;;;;;;;
1082;897;7;32,036;;;;;;;;;;;;;;;;;;;;;
1083;887;3;31,62;;;;;;;;;;;;;;;;;;;;;
1084;3.012;2;52,365;;;;;;;;;;;;;;;;;;;;;
1085;2.149;4;42,65;;;;;;;;;;;;;;;;;;;;;
1086;1.090;3;29,302;;;;;;;;;;;;;;;;;;;;;
1087;2.538;4;46,359;;;;;;;;;;;;;;;;;;;;;
1088;1.639;5;42,462;;;;;;;;;;;;;;;;;;;;;
1089;1.000;4;26,919;;;;;;;;;;;;;;;;;;;;;
1090;1.100;5;31,545;;;;;;;;;;;;;;;;;;;;;
1091;254;5;13,492;;;;;;;;;;;;;;;;;;;;;
1092;1.862;3;35,168;;;;;;;;;;;;;;;;;;;;;
1093;2.177;5;46,581;;;;;;;;;;;;;;;;;;;;;
1094;2.896;10;62,942;;;;;;;;;;;;;;;;;;;;;
1095;431;5;22,736;;;;;;;;;;;;;;;;;;;;;
1096;1.611;3;42,177;;;;;;;;;;;;;;;;;;;;;
1097;233;3;16,565;;;;;;;;;;;;;;;;;;;;;
1098;387;8;20,245;;;;;;;;;;;;;;;;;;;;;
1099;1.567;6;38,38;;;;;;;;;;;;;;;;;;;;;
1100;1.195;3;31,55;;;;;;;;;;;;;;;;;;;;;
1101;571;4;21,119;;;;;;;;;;;;;;;;;;;;;
1102;3.930;3;42,903;;;;;;;;;;;;;;;;;;;;;
1103;671;6;21,797;;;;;;;;;;;;;;;;;;;;;
1104;1.131;4;34,448;;;;;;;;;;;;;;;;;;;;;
1105;1.176;4;32,639;;;;;;;;;;;;;;;;;;;;;
1106;625;7;26,399;;;;;;;;;;;;;;;;;;;;;
1107;582;4;21,633;;;;;;;;;;;;;;;;;;;;;
1108;1.935;4;45,869;;;;;;;;;;;;;;;;;;;;;
1109;5.351;1;58,005;;;;;;;;;;;;;;;;;;;;;
1110;3.100;4;60,428;;;;;;;;;;;;;;;;;;;;;
1111;530;6;25,357;;;;;;;;;;;;;;;;;;;;;
1112;1.432;4;32,844;;;;;;;;;;;;;;;;;;;;;
1113;1.817;4;49,513;;;;;;;;;;;;;;;;;;;;;
1114;1.982;3;44,669;;;;;;;;;;;;;;;;;;;;;
1115;268;5;15,142;;;;;;;;;;;;;;;;;;;;;
1116;564;5;22,086;;;;;;;;;;;;;;;;;;;;;
1117;582;5;23,813;;;;;;;;;;;;;;;;;;;;;
1118;407;1;17,644;;;;;;;;;;;;;;;;;;;;;
1119;1.598;6;39,564;;;;;;;;;;;;;;;;;;;;;
1120;780;5;29,682;;;;;;;;;;;;;;;;;;;;;
1121;4.630;3;60,166;;;;;;;;;;;;;;;;;;;;;
1122;339;4;18,969;;;;;;;;;;;;;;;;;;;;;
1123;1.334;3;32,69;;;;;;;;;;;;;;;;;;;;;
1124;1.690;4;36,103;;;;;;;;;;;;;;;;;;;;;
1125;732;5;27,523;;;;;;;;;;;;;;;;;;;;;
1126;1.264;5;39,413;;;;;;;;;;;;;;;;;;;;;
1127;168;5;10,764;;;;;;;;;;;;;;;;;;;;;
1128;2.481;3;46,001;;;;;;;;;;;;;;;;;;;;;
1129;3.691;4;56,505;;;;;;;;;;;;;;;;;;;;;
1130;2.361;2;47,257;;;;;;;;;;;;;;;;;;;;;
1131;1.269;5;34,98;;;;;;;;;;;;;;;;;;;;;
1132;479;3;21,757;;;;;;;;;;;;;;;;;;;;;
1133;4.641;2;58,24;;;;;;;;;;;;;;;;;;;;;
1134;2.342;4;48,336;;;;;;;;;;;;;;;;;;;;;
1135;883;4;29,65;;;;;;;;;;;;;;;;;;;;;
1136;269;7;13,925;;;;;;;;;;;;;;;;;;;;;
1137;1.675;4;36,26;;;;;;;;;;;;;;;;;;;;;
1138;937;6;29,526;;;;;;;;;;;;;;;;;;;;;
1139;1.544;3;33,353;;;;;;;;;;;;;;;;;;;;;
1140;982;4;31,036;;;;;;;;;;;;;;;;;;;;;
1141;624;4;27,484;;;;;;;;;;;;;;;;;;;;;
1142;354;6;20,436;;;;;;;;;;;;;;;;;;;;;
1143;979;5;31,296;;;;;;;;;;;;;;;;;;;;;
1144;1.132;7;33,266;;;;;;;;;;;;;;;;;;;;;
1145;1.812;5;40,063;;;;;;;;;;;;;;;;;;;;;
1146;495;3;21,984;;;;;;;;;;;;;;;;;;;;;
1147;1.418;4;41,745;;;;;;;;;;;;;;;;;;;;;
1148;614;5;19,585;;;;;;;;;;;;;;;;;;;;;
1149;1.042;6;30,016;;;;;;;;;;;;;;;;;;;;;
1150;2.081;4;42,813;;;;;;;;;;;;;;;;;;;;;
1151;2.383;2;42,656;;;;;;;;;;;;;;;;;;;;;
1152;4.024;2;59,817;;;;;;;;;;;;;;;;;;;;;
1153;237;4;13,949;;;;;;;;;;;;;;;;;;;;;
1154;2.281;3;35,074;;;;;;;;;;;;;;;;;;;;;
1155;481;6;17,342;;;;;;;;;;;;;;;;;;;;;
1156;882;7;33,941;;;;;;;;;;;;;;;;;;;;;
1157;217;4;16,112;;;;;;;;;;;;;;;;;;;;;
1158;779;3;29,611;;;;;;;;;;;;;;;;;;;;;
1159;3.744;5;65,081;;;;;;;;;;;;;;;;;;;;;
1160;2.200;8;43,258;;;;;;;;;;;;;;;;;;;;;
1161;951;3;34,124;;;;;;;;;;;;;;;;;;;;;
1162;1.745;5;48,975;;;;;;;;;;;;;;;;;;;;;
1163;2.338;4;32,694;;;;;;;;;;;;;;;;;;;;;
1164;5.067;2;73,238;;;;;;;;;;;;;;;;;;;;;
1165;1.438;4;32,274;;;;;;;;;;;;;;;;;;;;;
1166;871;3;25,626;;;;;;;;;;;;;;;;;;;;;
1167;257;7;13,128;;;;;;;;;;;;;;;;;;;;;
1168;2.240;5;48,27;;;;;;;;;;;;;;;;;;;;;
1169;574;5;22,937;;;;;;;;;;;;;;;;;;;;;
1170;2.255;4;50,291;;;;;;;;;;;;;;;;;;;;;
1171;3.076;3;48,043;;;;;;;;;;;;;;;;;;;;;
1172;378;26;23,484;;;;;;;;;;;;;;;;;;;;;
1173;633;4;23,161;;;;;;;;;;;;;;;;;;;;;
1174;177;13;10,806;;;;;;;;;;;;;;;;;;;;;
1175;374;4;18,997;;;;;;;;;;;;;;;;;;;;;
1176;579;2;22,336;;;;;;;;;;;;;;;;;;;;;
1177;976;7;27,432;;;;;;;;;;;;;;;;;;;;;
1178;1.233;3;31,428;;;;;;;;;;;;;;;;;;;;;
1179;1.611;4;37,084;;;;;;;;;;;;;;;;;;;;;
1180;3.458;2;49,145;;;;;;;;;;;;;;;;;;;;;
1181;113;11;10,999;;;;;;;;;;;;;;;;;;;;;
1182;3.541;4;56,817;;;;;;;;;;;;;;;;;;;;;
1183;3.817;4;66,412;;;;;;;;;;;;;;;;;;;;;
1184;1.127;4;28,294;;;;;;;;;;;;;;;;;;;;;
1185;2.871;3;56,313;;;;;;;;;;;;;;;;;;;;;
1186;3.571;3;65,437;;;;;;;;;;;;;;;;;;;;;
1187;1.568;4;42,667;;;;;;;;;;;;;;;;;;;;;
1188;491;4;23,883;;;;;;;;;;;;;;;;;;;;;
1189;882;3;25,374;;;;;;;;;;;;;;;;;;;;;
1190;873;5;26,279;;;;;;;;;;;;;;;;;;;;;
1191;441;7;17,751;;;;;;;;;;;;;;;;;;;;;
1192;1.191;3;36,866;;;;;;;;;;;;;;;;;;;;;
1193;5.036;7;76,159;;;;;;;;;;;;;;;;;;;;;
1194;435;2;19,282;;;;;;;;;;;;;;;;;;;;;
1195;656;4;27,58;;;;;;;;;;;;;;;;;;;;;
1196;970;4;27,448;;;;;;;;;;;;;;;;;;;;;
1197;664;3;22,384;;;;;;;;;;;;;;;;;;;;;
1198;315;11;15,577;;;;;;;;;;;;;;;;;;;;;
1199;572;4;20,923;;;;;;;;;;;;;;;;;;;;;
1200;350;6;19,578;;;;;;;;;;;;;;;;;;;;;
1201;1.366;2;41,948;;;;;;;;;;;;;;;;;;;;;
1202;1.053;3;32,648;;;;;;;;;;;;;;;;;;;;;
1203;1.041;3;30,37;;;;;;;;;;;;;;;;;;;;;
1204;3.148;4;44,914;;;;;;;;;;;;;;;;;;;;;
1205;332;10;14,754;;;;;;;;;;;;;;;;;;;;;
1206;2.411;3;57,226;;;;;;;;;;;;;;;;;;;;;
1207;1.518;4;35,298;;;;;;;;;;;;;;;;;;;;;
1208;497;4;18,112;;;;;;;;;;;;;;;;;;;;;
1209;1.308;5;35,425;;;;;;;;;;;;;;;;;;;;;
1210;680;2;27,145;;;;;;;;;;;;;;;;;;;;;
1211;297;5;15,593;;;;;;;;;;;;;;;;;;;;;
1212;1.079;4;29,95;;;;;;;;;;;;;;;;;;;;;
1213;5.099;2;70,135;;;;;;;;;;;;;;;;;;;;;
1214;688;3;24,233;;;;;;;;;;;;;;;;;;;;;
1215;779;4;27,929;;;;;;;;;;;;;;;;;;;;;
1216;1.590;5;39,163;;;;;;;;;;;;;;;;;;;;;
